prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
840000.0,Fès,3.0,2.0,saies,3.0,1.0,120.0,7000.0
955000.0,Salé,2.0,1.0,sala el jadida,1.0,2.0,89.0,10730.337078651686
1150000.0,Marrakech,3.0,2.0,av abdelkrim el khattabi,1.0,2.0,111.0,10360.36036036036
1100000.0,Casablanca,1.0,1.0,les princesses,1.0,5.0,42.0,26190.47619047619
755000.0,Tanger,2.0,1.0,autre secteur,1.0,8.0,93.0,8118.279569892473
900000.0,Kénitra,3.0,2.0,mimosas,2.0,3.0,123.0,7317.073170731707
3600000.0,Salé,3.0,2.0,toute la ville,2.0,2.0,170.0,21176.470588235294
950000.0,Casablanca,1.0,1.0,maarif,1.0,4.0,46.0,20652.17391304348
1368000.0,Agadir,3.0,2.0,el houda,1.0,1.0,106.0,12905.66037735849
1150000.0,Casablanca,3.0,2.0,sidi maarouf,1.0,2.0,106.0,10849.056603773584
1990000.0,Casablanca,3.0,2.0,racine,1.0,2.0,132.0,15075.757575757576
11000.0,Tanger,5.0,3.0,autre secteur,2.0,3.0,300.0,36.666666666666664
6800.0,Casablanca,2.0,2.0,sidi bernoussi,1.0,4.0,74.0,91.89189189189189
650000.0,Tétouan,3.0,1.0,safir,2.0,2.0,80.0,8125.0
1300000.0,Salé,3.0,2.0,tabriquet,2.0,2.0,125.0,10400.0
711000.0,Casablanca,3.0,1.0,sidi bernoussi,1.0,1.0,79.0,9000.0
650000.0,Tétouan,3.0,1.0,safir,2.0,2.0,80.0,8125.0
1300000.0,Salé,3.0,2.0,tabriquet,2.0,2.0,125.0,10400.0
711000.0,Casablanca,3.0,1.0,sidi bernoussi,1.0,1.0,79.0,9000.0
1012000.0,Casablanca,2.0,2.0,ain sebaa,2.0,2.0,88.0,11500.0
1110000.0,Casablanca,2.0,2.0,quartier des hopitaux,1.0,1.0,60.0,18500.0
750000.0,Casablanca,2.0,1.0,la gironde,1.0,1.0,72.0,10416.666666666666
881500.0,Marrakech,2.0,2.0,gueliz,1.0,2.0,83.0,10620.481927710844
1550000.0,Casablanca,2.0,1.0,bourgogne,2.0,8.0,140.0,11071.42857142857
900000.0,Marrakech,3.0,1.0,semlalia,2.0,4.0,100.0,9000.0
980000.0,Marrakech,3.0,2.0,issil,1.0,1.0,115.0,8521.739130434782
760000.0,Casablanca,2.0,2.0,sidi bernoussi,1.0,1.0,76.0,10000.0
750000.0,Casablanca,3.0,1.0,la gironde,1.0,1.0,72.0,10416.666666666666
750000.0,Casablanca,2.0,1.0,la gironde,1.0,1.0,72.0,10416.666666666666
1220000.0,Casablanca,3.0,2.0,sidi maarouf,1.0,2.0,122.0,10000.0
