prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
7500.0,Casablanca,3.0,2.0,riviera,1.0,3.0,120.0,62.5
3200.0,Agadir,1.0,1.0,hay mohammadi,1.0,3.0,45.0,71.11111111111111
8500.0,Marrakech,2.0,1.0,route de safi,1.0,5.0,79.0,107.59493670886076
6000.0,Casablanca,2.0,2.0,belvedere,2.0,3.0,80.0,75.0
6000.0,Casablanca,2.0,2.0,c.i.l,1.0,5.0,78.0,76.92307692307692
4000.0,Casablanca,2.0,1.0,ain borja,1.0,4.0,70.0,57.142857142857146
10500.0,Casablanca,2.0,2.0,triangle d'or,2.0,3.0,120.0,87.5
6000.0,Rabat,1.0,1.0,agdal,1.0,4.0,30.0,200.0
15000.0,Rabat,2.0,1.0,agdal,1.0,3.0,110.0,136.36363636363637
7000.0,Casablanca,1.0,2.0,ferme bretone,1.0,1.0,65.0,107.6923076923077
7000.0,Casablanca,2.0,1.0,ain sebaa,1.0,4.0,86.0,81.3953488372093
4000.0,Mohammedia,2.0,2.0,autre secteur,1.0,1.0,96.0,41.666666666666664
5000.0,Casablanca,1.0,1.0,bourgogne,1.0,1.0,50.0,100.0
9000.0,Rabat,3.0,2.0,hassan,2.0,2.0,110.0,81.81818181818181
7500.0,Casablanca,2.0,2.0,centre ville,1.0,2.0,89.0,84.26966292134831
7500.0,Casablanca,1.0,1.0,racine,1.0,3.0,65.0,115.38461538461539
3200.0,Casablanca,1.0,1.0,roches noires,1.0,2.0,65.0,49.23076923076923
8000.0,Rabat,2.0,2.0,quartier de l'ocean,2.0,5.0,80.0,100.0
3500.0,Casablanca,1.0,1.0,belvedere,1.0,1.0,60.0,58.333333333333336
5500.0,Casablanca,1.0,1.0,sidi maarouf,1.0,3.0,44.0,125.0
1400.0,Sidi Bibi,1.0,1.0,toute la ville,1.0,1.0,60.0,23.333333333333332
8500.0,Mohammedia,3.0,2.0,quartier du parc,1.0,3.0,118.0,72.03389830508475
7500.0,Casablanca,1.0,1.0,racine,1.0,3.0,65.0,115.38461538461539
3200.0,Casablanca,1.0,1.0,roches noires,1.0,2.0,65.0,49.23076923076923
8000.0,Rabat,2.0,2.0,quartier de l'ocean,2.0,5.0,80.0,100.0
3500.0,Casablanca,1.0,1.0,belvedere,1.0,1.0,60.0,58.333333333333336
5500.0,Casablanca,1.0,1.0,sidi maarouf,1.0,3.0,44.0,125.0
1400.0,Sidi Bibi,1.0,1.0,toute la ville,1.0,1.0,60.0,23.333333333333332
8500.0,Mohammedia,3.0,2.0,quartier du parc,1.0,3.0,118.0,72.03389830508475
8500.0,Casablanca,2.0,2.0,bourgogne,1.0,3.0,79.0,107.59493670886076
5000.0,Casablanca,1.0,1.0,2 mars,1.0,4.0,50.0,100.0
4500.0,Mohammedia,1.0,1.0,la siesta,1.0,3.0,63.0,71.42857142857143
7500.0,Casablanca,1.0,1.0,racine,1.0,3.0,65.0,115.38461538461539
3200.0,Casablanca,1.0,1.0,roches noires,1.0,2.0,65.0,49.23076923076923
8000.0,Rabat,2.0,2.0,quartier de l'ocean,2.0,5.0,80.0,100.0
3500.0,Casablanca,1.0,1.0,belvedere,1.0,1.0,60.0,58.333333333333336
5500.0,Casablanca,1.0,1.0,sidi maarouf,1.0,3.0,44.0,125.0
1400.0,Sidi Bibi,1.0,1.0,toute la ville,1.0,1.0,60.0,23.333333333333332
8500.0,Mohammedia,3.0,2.0,quartier du parc,1.0,3.0,118.0,72.03389830508475
8500.0,Casablanca,2.0,2.0,bourgogne,1.0,3.0,79.0,107.59493670886076
5000.0,Casablanca,1.0,1.0,2 mars,1.0,4.0,50.0,100.0
4500.0,Mohammedia,1.0,1.0,la siesta,1.0,3.0,63.0,71.42857142857143
5400.0,Casablanca,3.0,2.0,ain borja,1.0,3.0,105.0,51.42857142857143
4000.0,Temara,2.0,1.0,riad oulad mtaa,1.0,1.0,80.0,50.0
5000.0,Casablanca,1.0,1.0,2 mars,1.0,4.0,50.0,100.0
4500.0,Mohammedia,1.0,1.0,la siesta,1.0,3.0,63.0,71.42857142857143
5400.0,Casablanca,3.0,2.0,ain borja,1.0,3.0,105.0,51.42857142857143
12000.0,Rabat,3.0,2.0,agdal,1.0,3.0,136.0,88.23529411764706
6500.0,Mohammedia,3.0,1.0,quartier du parc,1.0,1.0,115.0,56.52173913043478
12000.0,Casablanca,2.0,2.0,maarif,1.0,1.0,115.0,104.34782608695652
